,s1A,s1B,s1C,s1D,s1E,s1F,s1G,s1H,s1I,s1J,s2A,s2B,s2C,s2D,s2E,s2F,s2G,s2H,s2I,s2J,s3A,s3B,s3C,s3D,s3E,s3F,s3G,s3H,s3I,s3J,s4A,s4B,s4C,s4D,s4E,s4F,s4G,s4H,s4I,s4J,s5A,s5B,s5C,s5D,s5E,s5F,s5G,s5H,s5I,s5J,s6A,s6B,s6C,s6D,s6E,s6F,s6G,s6H,s6I,s6J,s7A,s7B,s7C,s7D,s7E,s7F,s7G,s7H,s7I,s7J
65d43491988bfe557da4d86a5ba25dae,777,237,470,632,14,981,1208,250,37,672,2480,413,202,1412,455,107,1628,0,0,102,0,80,346,27,837,0,0,46,112,76,828,579,464,0,529,775,116,87,0,29,749,1821,0,888,193,1411,1226,0,68,54,163,836,387,23,327,337,2157,281,138,0,494,31,1013,18,1087,328,38,637,299,187
0df6c802966e8670279671824da4f10a,0,311,2882,0,0,2581,0,280,0,1210,1332,225,817,149,0,203,1726,0,0,0,529,119,745,262,219,8,126,18,79,50,0,285,463,0,1366,1509,30,0,0,0,213,1872,0,635,229,5948,0,144,0,18,171,823,362,0,245,747,0,133,0,0,950,62,0,110,0,760,297,628,225,272
685a1812a6e46f72d7cf1f4a060b8e96,0,337,0,1762,90,178,249,274,0,192,205,0,0,761,82,83,572,0,15,0,338,95,694,0,629,0,23,0,0,0,0,224,0,141,873,1339,21,20,0,0,0,597,0,32,75,0,0,259,18,0,104,405,367,0,0,1181,482,64,0,7,0,1082,897,0,408,763,204,136,0,184
fcf5771cf6352b6dc954da8a82b9fb48,289,0,720,1252,76,0,0,0,45,0,1036,244,426,0,102,0,706,0,0,0,0,0,0,378,348,0,0,0,0,62,576,112,0,64,1298,0,0,95,51,16,317,0,558,174,0,383,0,85,38,0,0,1063,928,21,355,2597,238,0,36,0,199,0,0,149,428,0,146,0,0,0
807ab4dce101a0cca3e66c559d190b9a,0,0,311,1203,303,43,0,0,0,896,3327,0,363,0,0,0,0,5,13,0,0,0,0,0,418,0,0,0,0,0,0,265,0,0,724,0,126,0,82,41,0,0,0,408,0,2517,1135,0,0,0,0,0,0,0,0,0,0,126,108,0,0,36,974,0,0,263,0,0,0,0
e9c5c7f40dc0d24681936be2db1c8467,129,108,108,323,0,0,145,27,8,514,1114,182,113,285,21,23,435,0,0,0,438,0,207,13,100,0,47,0,0,0,0,242,0,238,286,770,15,0,7,14,117,68,642,0,65,243,916,67,19,0,0,211,0,0,282,529,1270,0,11,0,51,631,699,129,0,402,71,142,0,0
33295f1846cff2bf9c88e15798fbc91d,0,0,0,377,0,0,347,41,0,0,0,0,171,0,0,0,452,0,0,0,225,0,1305,0,0,0,0,0,0,0,0,119,0,0,0,0,0,57,0,26,0,0,0,4955,11,0,0,110,0,0,0,1656,194,9,117,0,0,0,0,0,0,0,0,0,0,104,2060,0,0,135
aa9b3a1418d146c262ec63305292065a,114,0,48,0,90,528,0,0,22,0,0,54,993,266,0,0,232,0,0,36,453,0,280,0,0,4,19,0,31,42,0,36,182,237,48,782,100,26,62,28,219,274,215,0,155,889,967,21,0,33,220,235,0,10,0,0,150,221,0,0,0,131,0,0,48,192,180,0,0,115
e5c19d7800b18015f3a917fc015fc42f,4,187,0,0,0,0,0,116,0,0,1481,108,0,0,0,0,0,10,7,0,0,17,0,0,353,0,0,6,72,23,0,13,0,148,0,0,40,0,0,21,0,38,0,1624,0,0,2635,169,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789,0,383,0,36,232
d829bee4984f82ffc2453212157caf96,0,0,143,0,0,0,122,0,0,0,1828,0,375,52,20,86,0,0,0,0,208,0,213,0,471,0,0,0,43,0,0,246,0,0,0,243,0,5,0,0,0,0,0,0,0,264,833,0,0,0,12,681,0,0,0,0,0,0,0,0,0,102,0,0,192,1115,23,0,252,0
9fec7bdd6bd88e710bd69b15692e54a0,0,0,0,0,0,1152,0,0,0,0,0,0,538,1485,0,0,0,0,0,0,0,0,706,0,0,0,0,0,0,0,957,497,0,0,0,0,48,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588,121,0,0,0,0,0,0
b601b2ea2b069de7516ec6135c79ee29,145,0,0,270,0,0,0,0,11,868,0,241,78,0,0,0,255,0,0,41,0,66,344,70,182,0,0,0,54,74,0,255,88,210,0,1045,32,0,58,0,212,0,0,0,23,0,980,0,96,0,0,686,41,8,0,0,0,177,0,0,0,0,585,0,641,0,101,0,360,0
3bac14d2805bf995afe9d316a5777b1e,0,0,0,0,207,0,126,0,0,0,68,0,40,82,0,42,0,0,0,0,0,11,668,113,0,0,51,0,0,71,1289,0,0,224,392,1043,96,0,35,0,0,136,463,187,163,0,349,0,0,0,524,215,214,0,0,0,133,0,0,0,0,222,174,27,0,69,0,365,114,146
87ace68671b521fa779b33d5fcf2b782,28,0,0,150,129,0,0,87,0,0,0,0,0,67,0,0,0,0,0,0,0,0,103,0,214,0,0,12,0,0,0,366,78,0,0,19,0,275,0,0,0,384,178,277,0,0,885,0,32,0,0,0,58,0,564,0,0,0,0,0,0,29,0,56,0,29,3879,0,0,0
c22b16cc6108c04f29fea3b6d4c81571,0,0,0,0,0,845,0,0,28,0,0,0,0,0,1285,0,0,0,0,76,0,0,0,0,0,0,0,0,0,118,0,450,0,0,949,0,0,13,46,25,0,0,0,0,0,0,0,167,0,13,0,727,0,0,0,0,1139,88,0,0,0,0,0,0,0,0,0,0,0,269
