,Domain,Phylum,Class,Order,Family,Genus,Species
65d43491988bfe557da4d86a5ba25dae,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,
0df6c802966e8670279671824da4f10a,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,
685a1812a6e46f72d7cf1f4a060b8e96,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
fcf5771cf6352b6dc954da8a82b9fb48,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,
807ab4dce101a0cca3e66c559d190b9a,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Peptoclostridium,
e9c5c7f40dc0d24681936be2db1c8467,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,
33295f1846cff2bf9c88e15798fbc91d,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,
aa9b3a1418d146c262ec63305292065a,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
e5c19d7800b18015f3a917fc015fc42f,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,
d829bee4984f82ffc2453212157caf96,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,
9fec7bdd6bd88e710bd69b15692e54a0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
b601b2ea2b069de7516ec6135c79ee29,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_kroppenstedtii
3bac14d2805bf995afe9d316a5777b1e,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,
87ace68671b521fa779b33d5fcf2b782,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_cecorum
c22b16cc6108c04f29fea3b6d4c81571,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,
dc6f5a358c76a2b1d0af01305845be45,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
52f626275d6df4271fc858221efe9988,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcales-Tissierellales,Anaerococcus,uncultured_bacterium
5c60f84b3d868e8544e0b7805e20ae77,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_radioresistens
8612a638846acf832935cb932a1f0398,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Cloacibacterium,
0920dcf0f62fb2b3ab9e32f1c4edec37,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,
6dfb118aa8b73ede1bdb71dedc23838c,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,uncultured_bacterium
5e54825bdc3f6e77f7fcc847fe978fa0,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,
886813d6c66ef41ef648c9b92ffde619,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
a7d9ac24cf597a17e98e400931d90089,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges,
820f6693f569e339f183638cd73a7fe6,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella,uncultured_bacterium
fd496fd32dc8c08ade2e8b6c9d8ee13d,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_salivarius
516a67156dacfa4341327a7e2a22f877,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,
87c18e8ee3789954404f2c1a35079a09,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium]_hallii_group,uncultured_organism
06f825b512d903b9230e1a55d87359ee,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
60f0611d5249ee66fcd7c9b07d14d1d7,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Peptoclostridium,
195a54476a1802d75e0e773601fe964b,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
533b6c05a74b2c25a94f884d6fe42f9d,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,
95fdd816723ca482a5caba10bea171c8,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,
9ad62528b3d5e739b5e6a4d75d4ff08b,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,
9e3e61ab8f8501e49dfd6f9a0af91d14,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcales-Tissierellales,Anaerococcus,
08bd43071a06abf56df235fca6655bea,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus]_torques_group,
5d5db5a4b1cb701462bfd0989f5a3495,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Tepidimonas,
edc9e5c16e40aff1eadce6597940f08f,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
4dbd335b510606def06a34bef91c5214,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter_persici
c2710bcc91ead1781a225b9839cb87f9,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium,uncultured_bacterium
de4b8a67ef1db94574c45ea8a2396b3f,Bacteria,Acidobacteriota,Blastocatellia,DS-100,DS-100,DS-100,
28fc5b4c98e618c2d8b58303c777ae23,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacteriaceae,uncultured_bacterium
6472eb8b1e09f892aca2f23182962903,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,,
8980955b2df11ab55794dd67d575af65,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,
942ec60e75a4f9183b9b69cbf8960379,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,
864267f12bedace19272af56224498c7,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,uncultured,uncultured_bacterium
d3c2b1c15d26e5fdcab77b372a987628,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_kroppenstedtii
af41cf4274295c8e4bcac05fef8414cd,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,
0cc3c7f7377f8dd91d19d314e930231c,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,
e8386d3a307c208c4b9f0a756259cd6b,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,
6ea8228cb56f8a62f932f0e613bca40e,Bacteria,Firmicutes,Bacilli,Thermicanales,Thermicanaceae,Thermicanus,uncultured_bacterium
d6efd2da2728fd74ded268122ee05036,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
b037e5d0ebf4fa647f543bf0ccec4f62,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,,
3ebe761bfb1238c87195d431f41bf976,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,
b70e8d907778952d23bd4876542a2140,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_thermoamylovorans
95c8316a4890cad2c914a3e9277e98fe,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,
d76d59ec71de0e3b22da0c9cd564d41a,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Fusicatenibacter,
0889cc8e161518a19fe59be8063b55be,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured,
df71de0e92459aa808364311135bb8fc,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,
22b3c70cdfb1714224e1bf8a6314bee9,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcales-Tissierellales,Finegoldia,uncultured_bacterium
e98adecc02ca2df7e6fc7c8e2da3724f,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Peptoclostridium,uncultured_bacterium
d5e94b36ce9cd48d3998cac0bd4784e5,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Moheibacter,uncultured_bacterium
dc1230d383690191d41250d8ee8e1cdd,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,uncultured,uncultured_bacterium
ddfd49f939f92958b1ec816741055348,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,
295b4fc52bbe62488fad64135cf9b995,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,,
fd2eb1fe2266eed160a855f715f7c77e,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_anginosus
367fd0532f406448a26bcca3b54e8e2b,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,
f4801b7a68515d9005fa572ee6afdf41,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,
9ac3bb1d7dedb08a012692a6f536b5af,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
43904939ba355dce37c93c12823b71e2,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
4c3782b06eea3fdbccbb78e909b52a54,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,uncultured,uncultured_Isosphaera
c4420c0b8cf8693dddd72dd2159fec09,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Peptoclostridium,
6f2293344b118709ac45a2ece02a95e2,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
2449555381b856d9b49b6d1af24b98d3,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,,
fad598dfa45b1d6336d098edff16e3f9,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_cecorum
7b862991280c2d3dda6f4ece0fc5a180,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,uncultured_bacterium
86748e6e46eddb955f6918863b3cf191,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_coagulans
758b2fce0fd0a0bce812a2755b699469,Eukaryota,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Melanopsichium,uncultured_eukaryote
bc36214890a26655bb0101cf1456eef4,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,
4a5b5b81d92813620ba80abcf755d6d1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella,uncultured_bacterium
2b107ebc8d3df24a695406f8d3296548,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Peptoclostridium,
ffbae693fba2807c16974add122f2d60,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Megamonas,
aac0099991c8518a5268b1a19a84550b,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium]_hallii_group,
5a6c87d6a4eb5e114959f6192f29b641,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,
fce68aefa4902f1a8807ccf7eec97fed,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Peptoclostridium,
dae2095a5168cbf649c12e2ec3e00dd9,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,
9fc1eb3229a5b53432da186a4eaff521,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,uncultured_bacterium
4f5efd25dacb5d639316e7291ff6ff8b,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,
c59c8c5c3b1c32a57cecfde3a10da2d1,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_NK4A136_group,
78500c826f22cac8943b1e6a24736ddf,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,
99e433a3ce4d5290445f668df2c9147e,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
9e9eb9487cfef9873a085aeea19bf4f0,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,
efb9a19186e687353286856f27154606,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Caminicellaceae,Caminicella,
b4fed883d031265d58a840a473b6d6cc,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,uncultured_bacterium
faf4f31990e760c3c7ca5d547685725f,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,,
2865788b1d140057f44bb59edd4c740e,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Peptoclostridium,
3cbd2c9ea0c538f55594bcb1e1781637,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Allobaculum,uncultured_bacterium
d785becf925670c15691b02584ab4464,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,,
29d341be19cba0e46de6a7198d98c6ba,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,uncultured_methanogenic
85ab3259a195515f3d075c68745d6065,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,,
6c4c1ad9390ca6537422b9294b9e047d,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,
