,Kingdom,Phylum,Class,Order,Family,Genus,Species
0021bc89d6b441d89b8f1fb0a21a9106,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,unidentified
006c7db82a6677340a9520dd2167265f,Fungi,,,,,,
01ba4fde2374d42490e96ce865d46356,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_concentricum
01bb82f47283862d4086dd0b174338aa,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_concentricum
01e76076c9ea39322e27b80290e60f3e,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_concentricum
021a41564a97793175943235b145f080,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,
030d3f2416f9513a9e0a7d1f7341e20d,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Moesziomyces,Moesziomyces_aphidis
035d6e2b6c01855e47adf9dd971bc333,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium_sphaerospermum
036b811e79d73749c3636fe736c423ef,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,,
038c8c718b02eb71a851714a82e9a61c,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_metachromatica
03bf6a1ec8e542feaa2a7f34240ddfcf,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,
03eb22203384bd3f1f4f4a66cdf0eeac,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,
0437a534359dcb7f443d44664a42d589,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Fomitopsis,Fomitopsis_pinicola
048728d080efeba1f69df746abc324b6,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,
04aad617e42a619fd2de366dc2db2510,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Fomitopsis,Fomitopsis_pinicola
04ddb9390451bd99021e1bf7d14ee226,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,
052330318e08a67c76f44fc58bbd2b95,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,
056ec4d98836e30b217af6a1d31a08ca,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium_halotolerans
05eb3c2b3c1fe2851d06102379875b27,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia_sorghina
0614df8161a99841863b401ca9e306b2,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_steckii
0654e3616cb2846ee0c71b58b472281a,Fungi,Ascomycota,Dothideomycetes,,,,
06a035fa102fb576906eb4f977046d84,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,,
06fae7321813bdbe0b5afe66c6eaeb63,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,
07e9276b67a981f44733f3e73d48ed56,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetales_fam_Incertae_sedis,Trichaptum,Trichaptum_fuscoviolaceum
082a9d6960d9d4d75fa483e5070788ae,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,
08b30db380ec03324c0721f529506c7d,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_concentricum
093469a2f04ab2250fe7e68af68037bf,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_rutilum
09b44c4e56b6e3ce2dd973006c917477,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,,
09d5e10da8cd2605923f41ee3717f02d,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,
0b2629418451e7976ab214f1edc18842,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hyponectriaceae,Monographella,Monographella_nivalis
0c353704852150685248894ed3112553,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium_halotolerans
0c4535134d2229fa18da2e145a8dcabf,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,
0c8618cf03f9ecc6cf1602aee587a2bf,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,,
0c91ad81978e0e10e99b3c42e16e1581,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,,
0ce52136a633ca6206971273ce351b86,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,
