no,maternal_plant,maternal_plant_code,country_orgin,seed_color,population,warm_strat_date,trait_measure_date,germ_in_CS,germination_11-29,germination_12-1,germination_12-3,germination_12-5,germination_12-8,germination_12-10,days_to_germinate,leaf_height_cm,rooting_depth_cm,root_tip_count,no_primary_roots,no_leaves,Column5,Column6
1,93,A,Afghanistan,some brown and some green,PI 219971,11/29/2021,12/10/2021,,1,1,1,1,1,1,,6.1,0.5,3,2,2,,
2,93,A,Afghanistan,some brown and some green,PI 219971,11/29/2021,12/10/2021,,1,1,1,1,1,1,,5.1,1.2,3,2,1,,
3,93,A,Afghanistan,some brown and some green,PI 219971,11/29/2021,12/10/2021,,1,1,1,1,1,1,,10.5,3,1,1,2,,
4,93,A,Afghanistan,some brown and some green,PI 219971,11/29/2021,12/10/2021,,0,1,1,1,1,1,,1.6,1.6,1,1,1,,
5,93,A,Afghanistan,some brown and some green,PI 219971,11/29/2021,12/10/2021,,1,1,1,1,1,1,,0,0.7,1,1,0,,
6,93,A,Afghanistan,some brown and some green,PI 219971,11/29/2021,12/10/2021,,1,1,1,1,1,1,,5,0.5,3,3,1,,
7,93,A,Afghanistan,some brown and some green,PI 219971,11/29/2021,12/10/2021,,1,1,1,1,1,1,,6.6,1.1,3,3,1,,
8,93,A,Afghanistan,some brown and some green,PI 219971,11/29/2021,12/10/2021,,1,1,1,1,1,1,,6.1,1,2,1,1,,
9,93,A,Afghanistan,some brown and some green,PI 219971,11/29/2021,12/10/2021,,1,1,1,1,1,1,,10.1,4,4,1,2,,
10,93,A,Afghanistan,some brown and some green,PI 219971,11/29/2021,12/10/2021,,1,1,1,1,1,1,,8.6,2.3,5,2,2,,
11,138,B,Afghanistan,All brown,PI 219971,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
12,138,B,Afghanistan,All brown,PI 219971,11/29/2021,12/10/2021,,0,1,1,1,1,1,,,,,,,,
13,138,B,Afghanistan,All brown,PI 219971,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
14,138,B,Afghanistan,All brown,PI 219971,11/29/2021,12/10/2021,,0,0,0,0,0,0,,0,1.4,1,1,0,,
15,138,B,Afghanistan,All brown,PI 219971,11/29/2021,12/10/2021,,0,0,0,1,1,1,,,,,,,,
16,138,B,Afghanistan,All brown,PI 219971,11/29/2021,12/10/2021,,0,0,1,1,1,1,,0.5,0.3,1,1,1,,
17,138,B,Afghanistan,All brown,PI 219971,11/29/2021,12/10/2021,,0,0,1,1,1,1,,3.5,0.5,2,1,1,,
18,138,B,Afghanistan,All brown,PI 219971,11/29/2021,12/10/2021,,0,1,1,1,1,1,,0,0.4,1,1,0,,
19,138,B,Afghanistan,All brown,PI 219971,11/29/2021,12/10/2021,,0,1,1,1,1,1,,4.5,0.4,1,1,1,,
20,138,B,Afghanistan,All brown,PI 219971,11/29/2021,12/10/2021,,0,1,1,1,1,1,,2.2,1.1,1,1,1,,
21,183,C,Afghanistan,some brown and some green,PI 219971,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
22,183,C,Afghanistan,some brown and some green,PI 219971,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
23,183,C,Afghanistan,some brown and some green,PI 219971,11/29/2021,12/10/2021,,0,0,0,1,1,1,,4.8,0.5,2,2,1,,
24,183,C,Afghanistan,some brown and some green,PI 219971,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
25,183,C,Afghanistan,some brown and some green,PI 219971,11/29/2021,12/10/2021,,0,1,1,1,1,1,,6.6,2.2,2,2,1,,
26,183,C,Afghanistan,some brown and some green,PI 219971,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
27,183,C,Afghanistan,some brown and some green,PI 219971,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
28,183,C,Afghanistan,some brown and some green,PI 219971,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
29,183,C,Afghanistan,some brown and some green,PI 219971,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
30,183,C,Afghanistan,some brown and some green,PI 219971,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
31,201,D,Afghanistan,All brown,PI 219971,11/29/2021,12/10/2021,,0,0,0,1,1,1,,,,,,,,
32,201,D,Afghanistan,All brown,PI 219971,11/29/2021,12/10/2021,,0,1,1,1,1,1,,3.8,2.3,1,1,1,,
33,201,D,Afghanistan,All brown,PI 219971,11/29/2021,12/10/2021,,1,1,1,1,1,1,,7,1.8,1,1,1,,
