"","no","maternal_plant","maternal_plant_code","country_origin","seed_color","population","warm_strat_date","trait_measure_date","germ_in_CS","germination_11.29","germination_12.1","germination_12.3","germination_12.5","germination_12.8","germination_12.10","days_to_germinate","leaf_height_cm","rooting_depth_cm","root_tip_count","no_primary_roots","no_leaves","sample","germ_date","trt"
"1",1,93,"A","Afghanistan","some brown and some green","PI 219971","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,6.1,0.5,3,2,2,"s1A","11-29-2021","A 1"
"2",2,93,"A","Afghanistan","some brown and some green","PI 219971","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,5.1,1.2,3,2,1,"s2A","11-29-2021","A 2"
"3",3,93,"A","Afghanistan","some brown and some green","PI 219971","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,10.5,3,1,1,2,"s3A","11-29-2021","A 3"
"4",4,93,"A","Afghanistan","some brown and some green","PI 219971","11/29/2021","12/10/2021",0,0,1,1,1,1,1,3,1.6,1.6,1,1,1,"s4A","12-01-2021","A 4"
"5",5,93,"A","Afghanistan","some brown and some green","PI 219971","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,0,0.7,1,1,0,"s5A","11-29-2021","A 5"
"6",6,93,"A","Afghanistan","some brown and some green","PI 219971","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,5,0.5,3,3,1,"s6A","11-29-2021","A 6"
"7",7,93,"A","Afghanistan","some brown and some green","PI 219971","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,6.6,1.1,3,3,1,"s7A","11-29-2021","A 7"
"8",8,93,"A","Afghanistan","some brown and some green","PI 219971","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,6.1,1,2,1,1,"s8A","11-29-2021","A 8"
"9",9,93,"A","Afghanistan","some brown and some green","PI 219971","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,10.1,4,4,1,2,"s9A","11-29-2021","A 9"
"10",10,93,"A","Afghanistan","some brown and some green","PI 219971","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,8.6,2.3,5,2,2,"s10A","11-29-2021","A 10"
"11",11,138,"B","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s11B",NA,"B 11"
"12",12,138,"B","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",0,0,1,1,1,1,1,3,NA,NA,NA,NA,NA,"s12B","12-01-2021","B 12"
"13",13,138,"B","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s13B",NA,"B 13"
"14",14,138,"B","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,0,1.4,1,1,0,"s14B",NA,"B 14"
"15",15,138,"B","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",0,0,0,0,1,1,1,8,NA,NA,NA,NA,NA,"s15B","12-05-2021","B 15"
"16",16,138,"B","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",0,0,0,1,1,1,1,5,0.5,0.3,1,1,1,"s16B","12-03-2021","B 16"
"17",17,138,"B","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",0,0,0,1,1,1,1,5,3.5,0.5,2,1,1,"s17B","12-03-2021","B 17"
"18",18,138,"B","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",0,0,1,1,1,1,1,3,0,0.4,1,1,0,"s18B","12-01-2021","B 18"
"19",19,138,"B","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",0,0,1,1,1,1,1,3,4.5,0.4,1,1,1,"s19B","12-01-2021","B 19"
"20",20,138,"B","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",0,0,1,1,1,1,1,3,2.2,1.1,1,1,1,"s20B","12-01-2021","B 20"
"21",21,183,"C","Afghanistan","some brown and some green","PI 219971","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s21C",NA,"C 21"
"22",22,183,"C","Afghanistan","some brown and some green","PI 219971","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s22C",NA,"C 22"
"23",23,183,"C","Afghanistan","some brown and some green","PI 219971","11/29/2021","12/10/2021",0,0,0,0,1,1,1,8,4.8,0.5,2,2,1,"s23C","12-05-2021","C 23"
"24",24,183,"C","Afghanistan","some brown and some green","PI 219971","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s24C",NA,"C 24"
"25",25,183,"C","Afghanistan","some brown and some green","PI 219971","11/29/2021","12/10/2021",0,0,1,1,1,1,1,3,6.6,2.2,2,2,1,"s25C","12-01-2021","C 25"
"26",26,183,"C","Afghanistan","some brown and some green","PI 219971","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s26C",NA,"C 26"
"27",27,183,"C","Afghanistan","some brown and some green","PI 219971","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s27C",NA,"C 27"
"28",28,183,"C","Afghanistan","some brown and some green","PI 219971","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s28C",NA,"C 28"
"29",29,183,"C","Afghanistan","some brown and some green","PI 219971","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s29C",NA,"C 29"
"30",30,183,"C","Afghanistan","some brown and some green","PI 219971","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s30C",NA,"C 30"
"31",31,201,"D","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",0,0,0,0,1,1,1,8,NA,NA,NA,NA,NA,"s31D","12-05-2021","D 31"
"32",32,201,"D","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",0,0,1,1,1,1,1,3,3.8,2.3,1,1,1,"s32D","12-01-2021","D 32"
"33",33,201,"D","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,7,1.8,1,1,1,"s33D","11-29-2021","D 33"
"34",34,201,"D","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,7.8,2.1,1,1,1,"s34D","11-29-2021","D 34"
"35",35,201,"D","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,6,1.9,2,1,2,"s35D","11-29-2021","D 35"
"36",36,201,"D","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",0,0,1,1,1,1,1,3,5.5,1.4,1,1,1,"s36D","12-01-2021","D 36"
"37",37,201,"D","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s37D",NA,"D 37"
"38",38,201,"D","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s38D",NA,"D 38"
"39",39,201,"D","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,6.6,2.3,1,1,1,"s39D","11-29-2021","D 39"
"40",40,201,"D","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",0,0,1,1,1,1,1,3,2,0.8,1,1,1,"s40D","12-01-2021","D 40"
"41",41,219,"E","Afghanistan","All green","PI 219971","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s41E",NA,"E 41"
"42",42,219,"E","Afghanistan","All green","PI 219971","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s42E",NA,"E 42"
"43",43,219,"E","Afghanistan","All green","PI 219971","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s43E",NA,"E 43"
